Timestamp,1. I'm satisfied to apply my talents and expertise in my job.,2. I have opportunities for professional development within the company.,3. The job-related training my company offers is sufficient.,4. Which type of training you've been provided by the company?,5. Do you utilize the training skills and knowledge acquired through the training programme?,6. Overall what do you feel about the training programme?,7. How was this survey?
30/07/2019 19:38:36,Strongly Agree,Strongly Agree,Agree,"E-learning (virtual classroom, online class etc)",Never,Above Average,Excellent
31/07/2019 14:31:48,Neutral,Agree,Disagree,"E-learning (virtual classroom, online class etc)",Sometimes,Average,Excellent
31/07/2019 17:18:20,Neutral,Agree,Agree,Mentoring/ Shadowing/ Coaching,Sometimes,Average,Fair
31/07/2019 20:03:01,Agree,Agree,Agree,Mentoring/ Shadowing/ Coaching,Often,Excellent,Good
31/07/2019 20:19:49,Agree,Agree,Agree,"E-learning (virtual classroom, online class etc)",Always,Above Average,Good
31/07/2019 20:33:12,Strongly disagree,Strongly disagree,Neutral,On-the-job training,Always,Excellent,Excellent
31/07/2019 21:14:35,Agree,Agree,Neutral,Workshops,Always,Average,Good
31/07/2019 21:19:42,Agree,Neutral,Neutral,Mentoring/ Shadowing/ Coaching,Often,Average,Fair
01/08/2019 21:33:37,Disagree,Neutral,Neutral,"E-learning (virtual classroom, online class etc)",Sometimes,Average,Good
02/08/2019 19:01:26,Neutral,Disagree,Disagree,Mentoring/ Shadowing/ Coaching,Often,Average,Good
04/08/2019 12:16:46,Disagree,Disagree,Strongly disagree,Mentoring/ Shadowing/ Coaching,Often,Below Average,Good
06/08/2019 14:19:19,Agree,Agree,Neutral,On-the-job training,Sometimes,Average,Excellent
